Sample_name,conc_mgL_in_final_extract,S_P,Tube,Temp,Volume_mL,cells/perml,Hours_from_Innoc,Treatment,,,
7P_8_9 ,20,P,7,cool,30,29341732,24,noB12,,,
8P_8_9 ,3,P,8,cool,30,28842938,24,noB12,,,
9P_8_8 ,0,P,9,cool,30,27917922,24,noB12,,,
19P_8_8 ,6,P,19,warm,30,23723542,9,noB12,,,
21P_8_8 ,57,P,21,warm,30,26743498,9,noB12,,,
31P_8_8,36,P,31,hot,30,38518822,9,noB12,,,
32P_8_8 ,1,P,32,hot,30,38677891,9,noB12,,,
33P_8_8 ,100,P,33,hot,30,38907743,9,noB12,,,
19S_8_8 ,0,S,19,warm,25,23723542,9,noB12,,,
20S_8_8 ,0,S,20,warm,25,24407279,9,noB12,,,
21S_8_8 ,0,S,21,warm,25,26743498,9,noB12,,,
31S_8_8 ,0,S,31,hot,25,38518822,9,noB12,,,
32S_8_8 ,0,S,32,hot,25,38677891,9,noB12,,,
33S_8_8,0,S,33,hot,25,38907743,9,noB12,,,
7S_8_9 ,0,S,7,cool,25,29341732,24,noB12,,,
8S_8_9,1,S,8,cool,25,28842938,24,noB12,,,
9S_8_9 ,1,S,9,cool,25,27917922,24,noB12,,,
20P_8_4,16,P,20,warm,30,24407279,24,noB12,,,
