"FSC.A","SSC.A","FL1.A","FL2.A","FL3.A","FL4.A","FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H","Width","Time","Species","Media","Temp","Rep","Time_point","hours"
16881.0385720419,2220.37634160034,91464.1978468346,18425.726429114,7669.75928800238,550.888081635349,19201.4518344837,6371.57858062812,84984.7085631254,16984.4248538688,7189.7117004062,706.512301443149,75.1265149763878,355.578778772167,"Rpom","full","cold","1","1",3
17582.4902107454,2269.98250292702,86737.935540523,17463.5236438142,7257.52526993626,539.353031091453,19939.9911864186,6426.54712501626,80501.0503772603,16086.2832704566,6793.79624691037,680.765383114349,74.7194289059451,354.713249642253,"Rpom","full","cold","2","1",3
17083.0715513376,2276.74618891048,94172.6082424152,19000.4240397549,7920.76143326857,560.472500373636,19431.3838738604,6409.65931848752,87300.3191600658,17465.7245180093,7409.16398894037,720.109811687341,75.6128755044089,355.479337916604,"Rpom","full","cold","3","1",3
15921.0085908529,1919.59088380717,91189.8245055624,18441.3394313968,7725.33831891224,556.320766378245,18263.1794499382,6056.52676143387,84968.6319221261,17037.8497218789,7270.66480222497,711.229820766378,75.1583127317676,354.257014833127,"Amac","full","cold","1","1",3
15760.9980781358,1932.08993723912,88689.6994684844,17931.4354523888,7520.27885048497,549.100177171857,18156.5159304525,6088.575508243,83013.9262184319,16648.5403141047,7105.47872436263,701.66883877361,74.3849734242215,355.292874087865,"Amac","full","cold","2","1",3
16946.7154167779,1933.69611244551,84339.6820864099,17017.9751504908,7114.16433887851,550.205052931234,19431.3032648341,6072.10343089286,78817.3863831806,15779.2059128785,6711.82465972778,684.795273255642,74.0810722652196,353.813687987427,"Amac","full","cold","3","1",3
17745.1775985482,2075.22266357496,46712.5632019357,9383.39257989717,3908.60082669624,491.102369190443,20380.3832846053,6242.55152737171,44032.4215142656,8804.9758040125,3757.66042947878,505.995301945761,68.1322915616494,353.777860671439,"Rpom","noB12","cold","1","1",3
18122.995475494,2073.50072602538,44966.1497716703,9026.93993981355,3762.91416065153,490.062059386772,20783.8168311623,6233.15111849997,42362.2225846503,8468.93383699152,3622.27616321892,497.275279361939,67.8886340200762,354.703255539889,"Rpom","noB12","cold","2","1",3
17583.3287155296,2092.27128819943,47699.211642086,9588.21967818321,3995.63968079354,492.632782055824,20155.8034978465,6248.23791322507,44865.236179218,8977.7120802491,3833.08431376205,510.824212704865,68.388529450152,354.577405701713,"Rpom","noB12","cold","3","1",3
18129.2393018658,1896.73749517078,38325.3400449969,7692.15733018203,3207.90714269482,481.968002181669,20911.3599754562,6067.53373633616,36347.7480399064,7266.26402745267,3116.61377633343,463.146012771856,66.4758993704975,353.879371861009,"Amac","noB12","cold","1","1",3
