"name","Population","Parent","Count","ParentCount","sampleName","Species","Media","Temp","Rep","Time_point","vol","vol_ul","cells_per_ul","hours"
"A01.fcs","/Singlets","root",30281,30281,"A01.fcs","Rpom","full","cold","1","1","25109",25.109,1205.98191883388,3
"A02.fcs","/Singlets","root",30748,30748,"A02.fcs","Rpom","full","cold","2","1","25109",25.109,1224.5808275917,3
"A03.fcs","/Singlets","root",26764,26764,"A03.fcs","Rpom","full","cold","3","1","25104",25.104,1066.12492033142,3
"A04.fcs","/Singlets","root",32360,32360,"A04.fcs","Amac","full","cold","1","1","25000",25,1294.4,3
"A05.fcs","/Singlets","root",33301,33301,"A05.fcs","Amac","full","cold","2","1","25099",25.099,1326.7859277262,3
"A06.fcs","/Singlets","root",33723,33723,"A06.fcs","Amac","full","cold","3","1","25102",25.102,1343.43876981914,3
"A07.fcs","/Singlets","root",49595,49595,"A07.fcs","Rpom","noB12","cold","1","1","25096",25.096,1976.21134842206,3
"A08.fcs","/Singlets","root",47519,47519,"A08.fcs","Rpom","noB12","cold","2","1","25111",25.111,1892.3579307873,3
"A09.fcs","/Singlets","root",53633,53633,"A09.fcs","Rpom","noB12","cold","3","1","25037",25.037,2142.14961856452,3
"A10.fcs","/Singlets","root",44003,44003,"A10.fcs","Amac","noB12","cold","1","1","25100",25.1,1753.10756972112,3
"A11.fcs","/Singlets","root",43799,43799,"A11.fcs","Amac","noB12","cold","2","1","25102",25.102,1744.84104852203,3
"A12.fcs","/Singlets","root",48464,48464,"A12.fcs","Amac","noB12","cold","3","1","25049",25.049,1934.76785500419,3
"B01.fcs","/Singlets","root",117454,117454,"B01.fcs","Rpom","full","med","1","1","25031",25.031,4692.34149654429,3
"B02.fcs","/Singlets","root",109991,109991,"B02.fcs","Rpom","full","med","2","1","25047",25.047,4391.38419770831,3
"B03.fcs","/Singlets","root",109370,109370,"B03.fcs","Rpom","full","med","3","1","25041",25.041,4367.63707519668,3
"B04.fcs","/Singlets","root",136697,136697,"B04.fcs","Amac","full","med","1","1","25095",25.095,5447.1807132895,3
"B05.fcs","/Singlets","root",133747,133747,"B05.fcs","Amac","full","med","2","1","25102",25.102,5328.1411839694,3
"B06.fcs","/Singlets","root",130071,130071,"B06.fcs","Amac","full","med","3","1","25105",25.105,5181.07946624178,3
"B07.fcs","/Singlets","root",130646,130646,"B07.fcs","Rpom","noB12","med","1","1","25031",25.031,5219.36798370021,3
"B08.fcs","/Singlets","root",141591,141591,"B08.fcs","Rpom","noB12","med","2","1","25102",25.102,5640.62624492072,3
"B09.fcs","/Singlets","root",137740,137740,"B09.fcs","Rpom","noB12","med","3","1","25031",25.031,5502.77655706923,3
"B10.fcs","/Singlets","root",175810,175810,"B10.fcs","Amac","noB12","med","1","1","25102",25.102,7003.82439646243,3
"B11.fcs","/Singlets","root",176233,176233,"B11.fcs","Amac","noB12","med","2","1","25108",25.108,7018.99792894695,3
"B12.fcs","/Singlets","root",171606,171606,"B12.fcs","Amac","noB12","med","3","1","25097",25.097,6837.7096864167,3
"C01.fcs","/Singlets","root",394201,394201,"C01.fcs","Rpom","full","hot","1","1","25031",25.031,15748.5118453118,3
"C02.fcs","/Singlets","root",356801,356801,"C02.fcs","Rpom","full","hot","2","1","25045",25.045,14246.3964863246,3
"C03.fcs","/Singlets","root",405147,405147,"C03.fcs","Rpom","full","hot","3","1","25050",25.05,16173.5329341317,3
"C04.fcs","/Singlets","root",253730,253730,"C04.fcs","Amac","full","hot","1","1","25041",25.041,10132.5825645941,3
"C05.fcs","/Singlets","root",274538,274538,"C05.fcs","Amac","full","hot","2","1","25047",25.047,10960.9134826526,3
"C06.fcs","/Singlets","root",291361,291361,"C06.fcs","Amac","full","hot","3","1","25108",25.108,11604.3093834634,3
"C07.fcs","/Singlets","root",430058,430058,"C07.fcs","Rpom","noB12","hot","1","1","25047",25.047,17170.0403241905,3
"C08.fcs","/Singlets","root",433472,433472,"C08.fcs","Rpom","noB12","hot","2","1","25026",25.026,17320.866299049,3
"C09.fcs","/Singlets","root",426500,426500,"C09.fcs","Rpom","noB12","hot","3","1","25043",25.043,17030.7071836441,3
"C10.fcs","/Singlets","root",61503,61503,"C10.fcs","Amac","noB12","hot","1","1","25103",25.103,2450.02589331952,3
"C11.fcs","/Singlets","root",107033,107033,"C11.fcs","Amac","noB12","hot","2","1","25048",25.048,4273.11561801341,3
"C12.fcs","/Singlets","root",106321,106321,"C12.fcs","Amac","noB12","hot","3","1","25053",25.053,4243.84305272822,3
"F01.fcs","/Singlets","root",59630,59630,"F01.fcs","Rpom","full","cold","1","2","25157",25.157,2370.31442540843,6
"F02.fcs","/Singlets","root",67149,67149,"F02.fcs","Rpom","full","cold","2","2","25021",25.021,2683.70568722273,6
"F03.fcs","/Singlets","root",56483,56483,"F03.fcs","Rpom","full","cold","3","2","25044",25.044,2255.35058297397,6
"F04.fcs","/Singlets","root",91966,91966,"F04.fcs","Amac","full","cold","1","2","25059",25.059,3669.9788499142,6
